Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Cleanser,JACK BLACK,Deep Dive™ Glycolic Facial Cleanser,22,4.6,"Water, Kaolin, Glycerin, Sodium Methyl Cocoyl Taurate, Magnesium Aluminum Silicate, Volcanic Ash, Aveena Sativa (Oat) Kernel Meal, Acrylates Copolymer, Glycolic Acid, Helianthus Anuus (Sunflower) Seed Oil, Calendula Officinalis (Pot Marigold) Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Olea Europaea (Olive) Leaf Extract, Disodium Cocoamphodiacetate, Phenoxyethanol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Caprylyl Glycol, Sodium Hydroxide, Ethylhexylglycerin, Hexylene Glycol, Panthenol, Epilobium Angustifolium Flower/Leaf/Stem Extract, Arnica Montana (Wolf's Bane) Flower Extract, Allantoin, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate.",0,0,0,0,0
Cleanser,LANEIGE,Fresh Calming Toner,27,4.4,"Water, Propanediol, 1,2-Hexanediol, Ppg-13-Decyltetradeceth-24, Butylene Glycol, Sea Water, Maris Aqua, Eau De Mer, Ethylhexylglycerin, Disodium Edta, Litchi Chinensis Pericarp Extract, Tocopherol.",1,1,1,1,0
Treatment,CAUDALIE,Vinopure Natural Salicylic Acid Pore Minimizing Serum,49,4.4,*Plant origin.,1,0,1,1,1
Eye cream,ALGENIST,Dark Circle Corrector Set,75,4.3,"Water, Dodecane, Hexyl Laurate, Triethylhexanoin, Steareth-2, Mannitol, Steareth-21, Butylene Glycol, Glyceryl Stearate, Glycerin, Sorbitan Sesquioleate, Chlorella Protothecoides Oil, Algae Exopolysaccharides, Pongamia Glabra Seed Oil, Dunaliella Salina Extract, Haematococcus Pluvialis Extract, Halidrys Siliquosa Extract, Chondrus Crispus Extract, Aphanizomenon Flos-Aquae Extract, Algae Extract, Phaeodactylum Tricornutum Extract, Lysine, Olea Europaea (Olive) Fruit Oil, Tocopheryl Acetate, Evodia Rutaecarpa Fruit Extract, Magnesium Chloride, Hydrogenated Starch Hydrolysate, Cellulose, Dimethicone, Carbomer, Hydrogenated Lecithin, Polymethyl Methacrylate, Sodium Hydroxide, BHT, Disodium EDTA, Propanediol, Arginine PCA, Hydroxypropyl Methylcellulose, Citric Acid, Aluminum Hydroxide, Zinc Chloride, Galactoarabinan, Potassium Chloride, Sodium Chloride, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid, Benzyl Alcohol, Phenoxyethanol, Beta-Carotene (CI 40800), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).",1,1,1,1,1
Face Mask,ORIGINS,By All Greens™ Foaming Deep Cleansing Mask,30,3.9,"Water, Disodium Cocoamphodiacetate, Kaolin, Acrylates Copolymer, Citric Acid, Algae Extract, Isopentane, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Citrus Limon (Lemon) Peel Oil*, Citrus Aurantium Dulcis (Orange) Oil*, Cinnamomum Camphora (Camphor) Bark Oil*, Mentha Viridis (Spearmint) Leaf Oil*, Magnolia Acuminata Flower Extract, Iris Pallida Root Extract, Rosa Damascena Extract, Citral, Linalool, Limonene, Brassica Oleracea Italica (Broccoli) Extract, Spinacia Oleracea (Spinach) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Spirulina Platensis (Algae) Powder, Camellia Sinensis (White Tea) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Daucus Carota Sativa (Carrot) Root Extract, Glycerin, Sodium Hyaluronate, Ethylhexylglycerin, Caprylyl Glycol, Tocopheryl Acetate, Isobutane, Disodium Edta, Bht, Phenoxyethanol, Chromium Oxide Greens (Ci 77288) * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",1,0,1,1,0
Eye cream,DR. DENNIS GROSS SKINCARE,Hyaluronic Marine Dew It Right Eye Gel,48,3.9,"Water, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Silica, Sodium Hyaluronate, Saccharide Isomerate, Caulerpa Lentillifera Extract, Sea Whip Extract, Smilax Aristolochiifolia Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Caffeine, Panthenol, Glucosyl Hesperidin, Asiaticoside, Madecassoside, Disodium Rutinyl Disulfate, Stearyl Heptanoate, Sodium PCA, Lactic Acid, Trehalose, Hydrogenated Lecithin, Citric Acid, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Polyacrylate, Sodium Citrate, Xanthan Gum, Dimethicone, Sodium Potassium Aluminum Silicate, Carbomer, Phenoxyethanol, Benzyl Alcohol, Tin Oxide (CI 77861), Mica (CI 77019), Titanium Dioxide (CI 77891).",1,1,1,1,1
Sun protect,KATE SOMERVILLE,UncompliKated SPF 50 Soft Focus Makeup Setting Spray,38,3.2,"Alcohol Denat., Isobutane, Propane, Isododecane, Ethylhexyl Methoxycrylene, PVP, Methyl Dihydroabietate, Hydrolyzed Hyaluronic Acid, Rhodiola Rosea Root Extract, Water, Lavandula Angustifolia (Lavender) Oil, Silica Silylate, Pentylene Glycol.",1,1,1,1,0
Moisturizer,CAUDALIE,Vinosource Intense Moisture Rescue Cream,39,4.2,"Water, Glycerin*, Caprylic/Capric Triglyceride*, Squalane*, Cetearyl Alcohol*, Vitis Vinifera (Grape) Seed Oil*, Butyrospermum Parkii (Shea) Butter Extract*, Butylene Glycol, Hydrolyzed Potato Protein*, Borago Officinalis Seed Oil*, Hydrogenated Olive Oil Stearyl Esters*, Potassium Cetyl Phosphate, Panthenol, Cetearyl Wheat Straw Glycosides*, Trehalose, Polymethyl Methacrylate, Cetearyl Glucoside*, Tocopheryl Acetate*, Dimethicone, Carbomer, Parfum (Fragrance), Caprylyl Glycol, Palmitoyl Grape Seed Extract*, Potassium Sorbate, Sodium Hydroxide, Pentylene Glycol, Tricaprylin, Tocopherol*, Linoleic Acid*, Castanea Sativa (Chestnut) Bark, Leaf Extract*, Pisum Sativum (Pea) Extract*, Cyclodextrin*, Linolenic Acid*, Sodium Carboxymethyl Betaglucan, Bht, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hyaluronate, Hexyl Cinnamal, Linalool, Limonene, Benzyl Benzoate, Citronellol, Geraniol, Coumarin.*Plant Origin.",1,1,1,1,1
Eye cream,KIEHL'S SINCE 1851,Youth Dose Eye Treatment,39,2.8,"Water, Dimethicone, Glycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Vinly Dimethicone/Methicone Silsesquioxane Crosspollymer, Hydroxypropyl Tetrahydropyrantriol, Isononyl Isononanoate, Propylene Glycol, Ascorbyl Glucoside, Octyldoecanol, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Methyl Methacrylate Crosspolymer, Boron Nitride, CI 77891/Titanium Dioxide, Mica, Phenoxyethanol, PEG/PPPG-18/18 DImethicone, Silica Silylate, Hydrolyzed Soy protein, CI 77163/Bismuth Oxychloride, Sodium Hyaluronate, Chlorphenesin, Magnesium Sulfate, Sodium Hydroxide, Caffine, Retinyl Palmitate, Vitis Vinifer Seed Extract/Grape Seed Extract, Capryloyl Salicyclic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tetrasodium EDTA, CI 77491/Iron Oxides, Adenosine, Pentylene Glycol, Tocopherol.",1,1,1,1,1
Treatment,DR. BRANDT SKINCARE,needles no more® 3-D filler mask,95,3.7,"Water Butyrospermum Parkii (Shea) Butter, Polymethyl Methacrylate, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Acrylates Copolymer, Methylsilanol Hydroxyproline Aspartate, Phospholipids, Phenoxyethanol, Silica, Dimethylsilanol Hyaluronate, Lecithin, Silanetriol, Trehalose, Xanthan Gum, Chlorphenesin, Caprylyl Glycol, Sodium Hyaluronate, Tocopherol, Peg-40 Stearate,Hyaluronic Acid, Ethylhexylglycerin, Disodium Edta, Diethylhexyl Adipate,Helianthus Annuus (Sunflower) Seed Oil, Betaine, Propanediol, Olea Europaea (Olive) Fruit Oil, Ornithine, Ricinus Communis (Castor) Seed Oil, Anthemis Nobilis Flower Oil, Palmitoyl Oligopeptide, C10-18 Triglycerides, Glycolic Acid, Centella Asiatica Extract, Lactic Acid, Polyvinyl Alcohol, Glycolipids, Lavandula Angustifolia (Lavender) Flower Extract, Hydrolyzed Wheat Protein, Palmitoyl Decapeptide-21, Decapeptide-22, Oligopeptide-78, Zinc Palmitoyl Nonapeptide-14.",1,1,1,1,0
